player,message
Pigcharm,"On your right Swisherholly, I'm taking left."
Lordlong,Clear in this building.
Chillergold,Clear in this building.
Griffinsleet,Build something there Grinspark to protect us from Foxemerald.
Pigcharm,Hey everybody!
Watchersummer,Build something there Lordlong to protect us from Swisherholly.
Pigcharm,Ahah neat Walkerlava getting rid of Grinspark!
Lordlong,Great job guys!
Lordlong,Hey everybody!
Griffinsleet,Hey everybody!
Foxemerald,Ahah neat Lordlong getting rid of Griffinsleet!
Griffinsleet,Clear in this building.
Grinspark,Ahah neat Shriekerzinc getting rid of Foxemerald!
Servantagate,Shakerfreckle behind you!
Grinspark,Great job guys!
Griffinsleet,"On your right Grinspark, I'm taking left."
Bitevivid,Build something there Griffinsleet to protect us from Pigcharm.
Swisherholly,Build something there Chillergold to protect us from Griffinsleet.
Bitevivid,Clear in this building.
Deathpeat,Great job guys!
Swisherholly,Ahah neat Chillergold getting rid of Deathpeat!
Walkerlava,Damn! Great shoot Chillergold!
Griffinsleet,Hi! How are you today?
Foxemerald,Hi! How are you today?
Chillergold,Build something there Pigcharm to protect us from Lordlong.
Deathpeat,Ahah neat Shakerfreckle getting rid of Bitevivid!
Walkerlava,Swisherholly behind you!
Shriekerzinc,Let's investigate this building Bitevivid.
Watchersummer,Build something there Lordlong to protect us from Chillergold.
Servantagate,Damn! Great shoot Deathpeat!
Shakerfreckle,Build something there Wolfisland to protect us from Swisherholly.
Watchersummer,Build something there Crowncedar to protect us from Bitevivid.
Bitevivid,Griffinsleet behind you!
Foxemerald,Lordlong behing you! There's Pigcharm.
Deathpeat,Great job guys!
Shriekerzinc,Ahah neat Bitevivid getting rid of Watchersummer!
Shriekerzinc,Great job guys!
Walkerlava,Hey Pigcharm! How you doin' today?
Wolfisland,Hi! How are you today?
Lordlong,Hey everybody!
Grinspark,Hi! How are you today?
Deathpeat,Let's investigate this building Wolfisland.
Swisherholly,Let's investigate this building Chillergold.
Lordlong,Hey Crowncedar! How you doin' today?
Griffinsleet,Ahah neat Grinspark getting rid of Watchersummer!
Bitevivid,Ahah neat Griffinsleet getting rid of Deathpeat!
Shakerfreckle,Servantagate behing you! There's Shriekerzinc.
Pigcharm,"On your right Swisherholly, I'm taking left."
Wolfisland,Shakerfreckle behing you! There's Lordlong.
Servantagate,Hi! How are you today?
Servantagate,Ahah neat Deathpeat getting rid of Chillergold!
Foxemerald,"On your right Crowncedar, I'm taking left."
Lordlong,Foxemerald behind you!
Crowncedar,Build something there Lordlong to protect us from Griffinsleet.
Lordlong,"On your right Foxemerald, I'm taking left."
Swisherholly,Damn! Great shoot Walkerlava!
Bitevivid,Hi! How are you today?
Deathpeat,Hey Wolfisland! How you doin' today?
Servantagate,Ahah neat Deathpeat getting rid of Shriekerzinc!
Grinspark,Bitevivid behind you!
Swisherholly,Walkerlava behing you! There's Crowncedar.
Chillergold,Ahah neat Swisherholly getting rid of Crowncedar!
Deathpeat,Ahah neat Servantagate getting rid of Bitevivid!
Swisherholly,Great job guys!
Watchersummer,Ahah neat Crowncedar getting rid of Pigcharm!
Foxemerald,Clear in this building.
Walkerlava,Damn! Great shoot Chillergold!
Servantagate,Ahah neat Deathpeat getting rid of Bitevivid!
Deathpeat,Great job guys!
Servantagate,"On your right Wolfisland, I'm taking left."
Foxemerald,Hi! How are you today?
Servantagate,Hey everybody!
Swisherholly,Pigcharm behing you! There's Griffinsleet.
Chillergold,Clear in this building.
Foxemerald,Hey Crowncedar! How you doin' today?
Grinspark,Let's investigate this building Griffinsleet.
Grinspark,Let's investigate this building Shriekerzinc.
Servantagate,Great job guys!
Deathpeat,Let's investigate this building Wolfisland.
Chillergold,Hey everybody!
Shakerfreckle,Let's investigate this building Wolfisland.
Watchersummer,Hey everybody!
Lordlong,"On your right Watchersummer, I'm taking left."
Servantagate,"On your right Shakerfreckle, I'm taking left."
Wolfisland,Clear in this building.
Foxemerald,Build something there Watchersummer to protect us from Bitevivid.
Swisherholly,Clear in this building.
Lordlong,Hey everybody!
Swisherholly,Clear in this building.
Crowncedar,Hey everybody!
Wolfisland,Hey Deathpeat! How you doin' today?
